"","rules","support","confidence","lift","count"
"1","{I4} => {I1}",0.111111111111111,0.5,0.75,1
"2","{I1} => {I4}",0.111111111111111,0.166666666666667,0.75,1
"3","{I4} => {I2}",0.222222222222222,1,1.28571428571429,2
"4","{I2} => {I4}",0.222222222222222,0.285714285714286,1.28571428571429,2
"5","{I5} => {I3}",0.111111111111111,0.5,0.75,1
"6","{I3} => {I5}",0.111111111111111,0.166666666666667,0.75,1
"7","{I5} => {I1}",0.222222222222222,1,1.5,2
"8","{I1} => {I5}",0.222222222222222,0.333333333333333,1.5,2
"9","{I5} => {I2}",0.222222222222222,1,1.28571428571429,2
"10","{I2} => {I5}",0.222222222222222,0.285714285714286,1.28571428571429,2
"11","{I3} => {I1}",0.444444444444444,0.666666666666667,1,4
"12","{I1} => {I3}",0.444444444444444,0.666666666666667,1,4
"13","{I3} => {I2}",0.444444444444444,0.666666666666667,0.857142857142857,4
"14","{I2} => {I3}",0.444444444444444,0.571428571428571,0.857142857142857,4
"15","{I1} => {I2}",0.444444444444444,0.666666666666667,0.857142857142857,4
"16","{I2} => {I1}",0.444444444444444,0.571428571428571,0.857142857142857,4
"17","{I1,I4} => {I2}",0.111111111111111,1,1.28571428571429,1
"18","{I2,I4} => {I1}",0.111111111111111,0.5,0.75,1
"19","{I1,I2} => {I4}",0.111111111111111,0.25,1.125,1
"20","{I3,I5} => {I1}",0.111111111111111,1,1.5,1
"21","{I1,I5} => {I3}",0.111111111111111,0.5,0.75,1
"22","{I1,I3} => {I5}",0.111111111111111,0.25,1.125,1
"23","{I3,I5} => {I2}",0.111111111111111,1,1.28571428571429,1
"24","{I2,I5} => {I3}",0.111111111111111,0.5,0.75,1
"25","{I2,I3} => {I5}",0.111111111111111,0.25,1.125,1
"26","{I1,I5} => {I2}",0.222222222222222,1,1.28571428571429,2
"27","{I2,I5} => {I1}",0.222222222222222,1,1.5,2
"28","{I1,I2} => {I5}",0.222222222222222,0.5,2.25,2
"29","{I1,I3} => {I2}",0.222222222222222,0.5,0.642857142857143,2
"30","{I2,I3} => {I1}",0.222222222222222,0.5,0.75,2
"31","{I1,I2} => {I3}",0.222222222222222,0.5,0.75,2
"32","{I1,I3,I5} => {I2}",0.111111111111111,1,1.28571428571429,1
"33","{I2,I3,I5} => {I1}",0.111111111111111,1,1.5,1
"34","{I1,I2,I5} => {I3}",0.111111111111111,0.5,0.75,1
"35","{I1,I2,I3} => {I5}",0.111111111111111,0.5,2.25,1
